run_id	name	value	game_sim_settings
103	totalExposed	320	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
38	totalHealthy	230	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
38	totalExposed	513	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":3,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
40	totalHealthy	77	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
40	totalExposed	270	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
25	totalHealthy	257	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
25	totalExposed	156	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
44	totalHealthy	196	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
44	totalExposed	547	"{\"DesiredNumShoppers\":60,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
115	totalHealthy	99	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
115	totalExposed	276	"{\"DesiredNumShoppers\":20,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
82	totalHealthy	314	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
82	totalExposed	448	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
53	totalHealthy	481	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
53	totalExposed	319	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":1,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
92	totalHealthy	196	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
92	totalExposed	513	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":4,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
122	totalHealthy	145	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
122	totalExposed	528	"{\"DesiredNumShoppers\":40,\"DesiredNumContagious\":5,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
108	totalHealthy	323	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
108	totalExposed	459	"{\"DesiredNumShoppers\":50,\"DesiredNumContagious\":2,\"OneWayAisles\":true,\"SimulationTimeInSeconds\":600,\"SpawnCooldown\":0.75}"
